"Accipiter_gentilis","Acrocephalus_arundinaceus","Acrocephalus_palustris","Acrocephalus_scirpaceus","Aegithalos_caudatus","Alauda_arvensis","Anthus_trivialis","Apus_apus","Buteo_buteo","Carduelis_cannabina","Carduelis_carduelis","Carduelis_chloris","Certhia_brachydactyla","Certhia_familiaris","Coccothraustes_coccothraustes","Columba_livia","Columba_oenas","Columba_palumbus","Corvus_corax","Corvus_corone","Cuculus_canorus","Parus_caeruleus","Delichon_urbicum","Dendrocopos_major","Dendrocopos_medius","Dryocopus_martius","Emberiza_citrinella","Emberiza_schoeniclus","Erithacus_rubecula","Falco_tinnunculus","Ficedula_hypoleuca","Fringilla_coelebs","Garrulus_glandarius","Hippolais_icterina","Hirundo_rustica","Lanius_collurio","Locustella_naevia","Parus_cristatus","Luscinia_megarhynchos","Miliaria_calandra","Motacilla_alba","Motacilla_flava","Muscicapa_striata","Oriolus_oriolus","Parus_major","Passer_domesticus","Passer_montanus","Parus_ater","Phoenicurus_ochruros","Phoenicurus_phoenicurus","Phylloscopus_collybita","Phylloscopus_sibilatrix","Phylloscopus_trochilus","Pica_pica","Picus_viridis","Parus_palustris","Prunella_modularis","Regulus_ignicapilla","Saxicola_torquatus","Serinus_serinus","Sitta_europaea","Streptopelia_decaocto","Sturnus_vulgaris","Sylvia_atricapilla","Sylvia_borin","Sylvia_communis","Sylvia_curruca","Troglodytes_troglodytes","Turdus_merula","Turdus_philomelos","site"
0.62805666333726,0,0,0,0.31402833166863,0,0,0,0,0,0,0,3.45431164835493,1.88416999001178,4.71042497502945,0,0.62805666333726,3.76833998002356,0.31402833166863,0.62805666333726,0.31402833166863,10.3629349450648,0,11.3050199400707,0.31402833166863,0.62805666333726,0,0,10.9909916084021,0,1.88416999001178,22.2960115484727,1.57014165834315,0,0,0,0,1.57014165834315,0,0,0,0,0.62805666333726,0,9.10682161839027,0,0,0.94208499500589,0,0,0.31402833166863,7.53667996004712,0,0,0.31402833166863,0,0,2.19819832168041,0,0,9.10682161839027,0,0.62805666333726,2.82625498501767,0,0,0,11.3050199400707,9.4208499500589,4.39639664336082,"BE2"
0,0,0,0,0,0,0,1.12991202307747,0,0,0,0.282478005769367,0.282478005769367,0,0,1.12991202307747,0,1.6948680346162,0,0.847434017308102,0,3.10725806346304,0,0.282478005769367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.54230205192431,20.0559384096251,0.282478005769367,0,0.282478005769367,0.847434017308102,0,0,0,1.12991202307747,0,0,0,0,0,0.282478005769367,0.282478005769367,0,1.41239002884684,1.6948680346162,0,0,0.564956011538735,0,3.95469208077114,0,"BE20"
0.306435814001049,0,0,0.306435814001049,0.612871628002098,0,0,0.919307442003147,0,0,0.612871628002098,2.14505069800734,3.37079395401154,0,2.45148651200839,0,0,4.59653721001574,0,1.2257432560042,0,13.4831758160462,0,2.45148651200839,0,0,0,0,3.98366558201364,0,0,7.35445953602518,0.306435814001049,0,0,0,0,0,2.45148651200839,0,0,0,1.2257432560042,0,8.88663860603042,1.53217907000525,0.306435814001049,0,0.919307442003147,3.98366558201364,4.29010139601469,1.83861488400629,0,0,0.306435814001049,0,1.53217907000525,0.919307442003147,0,4.59653721001574,1.83861488400629,0,5.82228046601993,6.12871628002098,0,0,0.919307442003147,4.59653721001574,16.5475339560566,1.83861488400629,"BE21"
0,0,0,0,0.326159564118497,0,0,1.63079782059249,0,0,0.978478692355492,3.26159564118497,1.63079782059249,0,0,4.89239346177746,0,5.87087215413295,0,1.30463825647399,0,4.56623389765896,0,0,0,0,0,0,0.652319128236995,0,0,0,0.326159564118497,0,0,0,0,0,0.652319128236995,0,0,0,0,0,6.19703171825145,20.2218929753468,0,0,6.19703171825145,1.63079782059249,0,0,0,0.978478692355492,0,0,0,0,0,0.978478692355492,0,0,0.978478692355492,2.28311694882948,0,0,0.978478692355492,0.326159564118497,8.80630823119943,0,"BE22"
0,0,0,0,0,0,0,1.64630918008529,0,0,0.987785508051177,0.987785508051177,0.987785508051177,0,0,4.28040386822177,0,5.92671304830706,0,1.97557101610235,0,3.95114203220471,0,0,0,0,0,0,1.64630918008529,0,0,0.329261836017059,0,0,0,0,0,0,0,0,0.329261836017059,0,0,0,5.92671304830706,23.3775903572112,0,0,6.91449855635824,0.987785508051177,0,0,0,0.987785508051177,0,0,0,0,0,0.329261836017059,0,0,1.31704734406824,1.31704734406824,0,0,0.329261836017059,0,8.56080773644353,0,"BE23"
0,0,0,0,0,0,0,0,0,0,1.61159878341095,1.34299898617579,1.34299898617579,0,0,0,0,2.95459776958674,0,2.95459776958674,0,4.02899695852738,0,0.537199594470317,0,0,0,0,0.537199594470317,0,0,0.805799391705475,0,0,0,0,0,0,0,0,0,0,0,0,5.37199594470317,46.7363647189176,0,0,1.07439918894063,0.805799391705475,0,0,0,0.537199594470317,0,0,0,0,0,0,0.805799391705475,0,2.41739817511643,2.14879837788127,0,0,0.268599797235158,0.268599797235158,7.25219452534928,0,"BE24"
0,0,0,0,0.919173886645907,0,0,3.67669554658363,0,0,0.306391295548636,5.82143461542408,0,0,0,0,0,3.06391295548636,0,1.53195647774318,0,5.51504331987544,0,0.612782591097271,0,0,0,0,0.306391295548636,0,0,1.53195647774318,0.306391295548636,0,0.306391295548636,0,0,0,0.612782591097271,0,0,0,0,0,7.65978238871589,19.9154342106613,1.53195647774318,0,0.612782591097271,2.75752165993772,1.53195647774318,0.612782591097271,0,0.612782591097271,0.306391295548636,0,0.306391295548636,0.612782591097271,0,0.612782591097271,0,0,2.14473906884045,3.06391295548636,0,0,0,0,5.51504331987544,0.306391295548636,"BE25"
0,0,0,0,0.286507450263391,0,0,0,0,0,0,1.71904470158035,2.86507450263391,0,0,0.573014900526783,0,3.72459685342409,0,0.573014900526783,0,4.58411920421426,0,1.71904470158035,0,0,0,0,1.43253725131696,0.286507450263391,0,2.29205960210713,0,0,0,0,0,0,0.573014900526783,0,0,0,0.573014900526783,0,11.1737905602723,32.94835678029,0,0,0.573014900526783,1.43253725131696,0.286507450263391,0,0,0,0.286507450263391,0,0,0,0,0.286507450263391,1.14602980105357,0,5.44364155500444,2.86507450263391,0,0,0.859522350790174,1.43253725131696,7.44919370684817,0,"BE26"
0,0,0,0,0.293209222882799,0,0,5.57097523477319,0,0.879627668648398,0,3.22530145171079,1.1728368915312,0,0.586418445765599,0.293209222882799,0,4.98455678900759,0,4.10492912035919,0,7.62343979495279,0,0.879627668648398,0,0,0.293209222882799,0,0.879627668648398,0.293209222882799,0.293209222882799,0.293209222882799,0.586418445765599,0,0,0,0,0.586418445765599,2.0524645601796,0,0.293209222882799,0,0,0,10.5555320237808,19.058599487382,3.51851067459359,0,0.879627668648398,2.6388830059452,0.293209222882799,0.293209222882799,0.586418445765599,2.6388830059452,0.293209222882799,0,0.293209222882799,0,0,1.466046114414,0,0,3.51851067459359,0.879627668648398,0,0.586418445765599,1.1728368915312,0.293209222882799,7.03702134918719,0.293209222882799,"BE27"
0,0,0,0.261400968644233,0,0,0,0,0.261400968644233,0,0.522801937288467,0,2.3526087177981,0.522801937288467,0.7842029059327,0,0.7842029059327,1.5684058118654,0,0,0,8.10343002797124,0,2.87541065508657,0,0.261400968644233,0,0,6.53502421610584,0,2.09120774915387,12.0244445576347,1.04560387457693,0,0,0,0,1.04560387457693,0,0,0.261400968644233,0,0.261400968644233,0,7.31922712203854,0,0,0,0,0.261400968644233,0.522801937288467,1.04560387457693,0,0,0,0.7842029059327,0,1.5684058118654,0,0,4.7052174355962,0,0.7842029059327,2.87541065508657,0,0,0,2.3526087177981,3.65961356101927,2.3526087177981,"BE28"
0,0,0,0,0,0,0,0,0,0,0.266183336876234,2.3956500318861,0,0,0,0.798550010628701,0,3.99275005314351,0,3.1942000425148,0,2.92801670563857,0,0.532366673752467,0,0,0,0,0.532366673752467,0,0,0.798550010628701,1.33091668438117,0,0,0,0,0,0,0,0,0,0,0,3.46038337939104,14.9062668650691,3.72656671626727,0,2.66183336876234,1.33091668438117,0,0,0,2.3956500318861,0,0,0,0,0,0,0.266183336876234,0,4.79130006377221,1.5971000212574,0.532366673752467,0,1.33091668438117,0,10.9135168119256,0,"BE29"
0,0.589792350564635,0,0,0,0,0.294896175282317,0,0,0,0.294896175282317,1.47448087641159,2.65406557754086,0.294896175282317,0.884688525846952,0.589792350564635,0,1.47448087641159,0.294896175282317,0.294896175282317,0,6.7826120314933,0,2.65406557754086,0,0,2.06427322697622,0,2.94896175282317,0,2.65406557754086,6.19281968092866,0.589792350564635,0,2.06427322697622,0,0,2.06427322697622,0.884688525846952,0,0,0,0,0,8.5519890831872,6.48771585621098,1.47448087641159,1.17958470112927,0.294896175282317,2.35916940225854,3.24385792810549,2.35916940225854,0,0.589792350564635,0,0,0.294896175282317,0.589792350564635,0,1.17958470112927,1.47448087641159,0,2.06427322697622,3.53875410338781,0,0,0.884688525846952,2.65406557754086,7.37240438205793,2.06427322697622,"BE3"
0,0,0,0,0.157455722967846,0.157455722967846,0,0,0,0,0.157455722967846,1.41710150671061,0.157455722967846,0,0,0,0,2.83420301342123,0,0.314911445935692,0,1.73201295264631,0,0.314911445935692,0,0,0,0,0.472367168903538,0,0,0,0.157455722967846,0,0,0,0,0,1.57455722967846,0,0,0,0,0,3.46402590529261,12.281546391492,2.36183584451769,0,0.157455722967846,1.41710150671061,0.157455722967846,0,0,0.314911445935692,0.157455722967846,0,0.157455722967846,0,0,0,0,0,0.314911445935692,2.046924398582,0.157455722967846,0,1.10219006077492,0.944734337807076,7.24296325652091,0.157455722967846,"BE30"
