SCIENTIFIC,GERMAN,ENGLISH,Order,Family,Habitat_long,Habitat,Introduced,Status,Migrant,SpecID_Elton,PassNonPass,Diet-Inv,Diet-Vend,Diet-Vect,Diet-Vfish,Diet-Vunk,Diet-Scav,Diet-Fruit,Diet-Nect,Diet-Seed,Diet-PlantO,Diet-5Cat,ForStrat-watbelowsurf,ForStrat-wataroundsurf,ForStrat-ground,ForStrat-understory,ForStrat-midhigh,ForStrat-canopy,ForStrat-aerial,ForStrat-Cat,Nocturnal,BodyMass-Value,log10_productivity,Nest_type,Foraging_habitat,Developmental_mode,Time_activity,Social system,Migratory mode,Diet
Strix aluco,Waldkauz,Tawny Owl,Strigiformes,Strigidae,Forest - Shrubland - Artificial/Terrestrial,Terrestrial,Native,LC,Resident,2990,Nonpasseriformes,10,80,10,0,0,0,0,0,0,0,VertFishScav,0,10,70,10,10,0,0,multi,1,472.46,-0.572,cavity,terrestrial,altricial,nocturnal,Pair,nonmigrant,vertfishscav
Sturnus vulgaris,Star,Common Starling,Passeriformes,Sturnidae,Marine Intertidal - Forest - Grassland - Artificial/Terrestrial - Artificial/Aquatic & Marine - Shrubland,Terrestrial,Native,LC,Semi,9510,Passeriformes,20,0,10,0,0,10,30,10,20,0,Omnivore,0,0,80,20,0,0,0,low,0,77.14,-0.094,cavity,terrestrial,altricial,diurnal,Occasional,migrant,omnivore
Sylvia atricapilla,Mönchsgrasmücke,Blackcap,Passeriformes,Sylviidae,Forest - Shrubland - Artificial/Terrestrial - Savanna,Terrestrial,Native,LC,Migrant,11383,Passeriformes,50,0,0,0,0,0,30,10,10,0,Omnivore,0,0,0,0,100,0,0,mid,0,16.7,0.069,open,terrestrial,altricial,diurnal,Pair,migrant,invertebrate
Sylvia borin,Gartengrasmücke,Garden Warbler,Passeriformes,Sylviidae,Forest - Shrubland - Savanna - Artificial/Terrestrial,Terrestrial,Native,LC,Migrant,11384,Passeriformes,50,0,0,0,0,0,40,10,0,0,Omnivore,0,0,0,60,20,20,0,multi,0,18.2,-0.085,open,terrestrial,altricial,diurnal,Pair,migrant,invertebrate
Sylvia communis,Dorngrasmücke,Greater Whitethroat,Passeriformes,Sylviidae,Grassland - Shrubland - Savanna - Artificial/Terrestrial,Terrestrial,Native,LC,Migrant,11385,Passeriformes,60,0,0,0,0,0,30,0,10,0,Invertebrate,0,0,0,100,0,0,0,low,0,15.1,0.023,open,terrestrial,altricial,diurnal,Pair,migrant,invertebrate
Sylvia curruca,Klappergrasmücke,Lesser Whitethroat,Passeriformes,Sylviidae,Forest - Wetlands (inland) - Shrubland - Savanna - Artificial/Terrestrial,Terrestrial,Native,LC,Migrant,11386,Passeriformes,60,0,0,0,0,0,20,10,10,0,Invertebrate,0,0,0,33,33,33,0,multi,0,11.44,-0.063,open,terrestrial,altricial,diurnal,Pair,migrant,invertebrate
Sylvia nisoria,Sperbergrasmücke,Barred Warbler,Passeriformes,Sylviidae,Forest - Shrubland - Savanna - Artificial/Terrestrial,Terrestrial,Native,LC,Migrant,11391,Passeriformes,70,0,0,0,0,0,30,0,0,0,Invertebrate,0,0,0,80,0,20,0,low,0,22.5,-0.128,open,terrestrial,altricial,diurnal,Pair,migrant,invertebrate
Tachybaptus ruficollis,Zwergtaucher,Little Grebe,Podicipediformes,Podicipedidae,Marine Neritic - Marine Coastal/Supratidal - Artificial/Aquatic & Marine - Wetlands (inland),Aquatic,Native,LC,Semi,5000,Nonpasseriformes,80,0,20,0,0,0,0,0,0,0,Invertebrate,70,30,0,0,0,0,0,water,0,169.43,-0.209,open,freshwater,semialtricial,diurnal,Occasional,migrant,invertebrate
Troglodytes troglodytes,Zaunkönig,Winter Wren,Passeriformes,Troglodytidae,Forest - Artificial/Terrestrial - Shrubland,Terrestrial,Native,LC,Semi,9750,Passeriformes,60,0,10,10,0,0,10,0,10,0,Invertebrate,0,0,50,50,0,0,0,low,0,9.74,0.234,closed,terrestrial,altricial,diurnal,Pair,migrant,invertebrate
Turdus merula,Amsel,Eurasian Blackbird,Passeriformes,Turdidae,Forest - Grassland - Shrubland - Artificial/Terrestrial,Terrestrial,Native,LC,Semi,8941,Passeriformes,50,0,0,0,10,0,20,0,20,0,Omnivore,0,0,60,20,20,0,0,multi,0,102.73,0.036,open,terrestrial,altricial,diurnal,Pair,migrant,invertebrate
Turdus philomelos,Singdrossel,Song Thrush,Passeriformes,Turdidae,Shrubland - Artificial/Terrestrial - Forest,Terrestrial,Native,LC,Semi,8965,Passeriformes,40,0,0,0,0,0,30,0,30,0,Omnivore,0,0,100,0,0,0,0,low,0,67.74,-0.129,open,terrestrial,altricial,diurnal,Pair,migrant,invertebrate
