"","pop_5km","distance_water","impervious_surface","light","noise","open_green","temp_cooldown","temp_day","temp_night","tree_cover"
"Oh_03",28563.78515625,469.77978515625,14.77086353302,201.545639038086,50.6212844848633,0.108144745230675,-0.619773209095001,25.603816986084,16.2348766326904,42.3737602233887
"Oh_04",19007.279296875,668.287231445312,8.8260383605957,177.467697143555,32.4557876586914,0.161935225129128,-0.498787730932236,19.3170909881592,12.0548934936523,49.2131309509277
"Oh_07",26281.25,508.835113525391,21.0190773010254,198.295120239258,51.2010269165039,0.066947229206562,-0.622126877307892,25.8642292022705,16.4201602935791,44.2015762329102
"Oh_10",20662.849609375,1230.9384765625,20.2266616821289,202.221694946289,45.774242401123,0.100463420152664,-0.541041731834412,21.9811592102051,13.8882150650024,46.154109954834
"Oh_12",858.098876953125,211.734832763672,4.21154069900513,107.136199951172,18.7337074279785,0.0964365005493164,-0.267930269241333,10.6761322021484,6.88289833068848,26.6546783447266
"Ol_03",32018.484375,1332.48559570312,21.267297744751,206.854888916016,44.8919448852539,0.131671965122223,-0.529299020767212,21.1150588989258,13.055025100708,46.1731758117676
"Ol_06",73465.109375,959.556274414062,34.1152954101562,236.910278320312,48.2885055541992,0.455237686634064,-0.599662065505981,23.0601997375488,11.9408750534058,17.5611743927002
"Ol_11",56875.56640625,413.044982910156,23.6634292602539,204.580810546875,52.6990776062012,0.0802275538444519,-0.603859186172485,25.7751064300537,16.44704246521,39.4530334472656
"Ol_16",5109.60986328125,963.759338378906,15.9124898910522,177.397018432617,21.3445682525635,0.193605899810791,-0.351851344108582,13.3530492782593,8.03639030456543,44.8991928100586
"Ol_50",4573.97998046875,564.848266601562,8.22426128387451,175.783676147461,47.073070526123,0.159729093313217,-0.681621849536896,25.9288177490234,15.7224931716919,49.667911529541
"Ol_55",22156.572265625,788.777954101562,18.104190826416,223.966094970703,33.0314483642578,0.143441557884216,-0.416417241096497,16.6517848968506,10.3502178192139,44.5610618591309
"Om_02",50077.4375,1259.42419433594,32.053524017334,233.749145507812,46.5549964904785,0.150859624147415,-0.570327818393707,22.2821311950684,12.7762680053711,42.170295715332
"Om_05",32630.076171875,506.388702392578,23.1658248901367,214.326202392578,47.4299354553223,0.0891597792506218,-0.589521825313568,24.114839553833,14.8945083618164,43.4123878479004
"Om_06",28886.501953125,543.429809570312,11.622049331665,185.932083129883,36.9250450134277,0.119245111942291,-0.545663237571716,21.3381423950195,13.304217338562,49.6742134094238
"Om_08",19084.56640625,408.304779052734,7.19184923171997,163.449401855469,33.9967575073242,0.141708344221115,-0.466015696525574,19.3718013763428,12.4299335479736,39.8863067626953
"Om_15",1132.365234375,971.6748046875,10.889256477356,152.830917358398,15.5030479431152,0.207642823457718,-0.277563214302063,10.36536693573,6.25524711608887,42.8683929443359
